estacion,hora,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
DISC Caraffa,22,null,9.0000,null,null,null,9.0000,null,9.0000
DISC Echeverria,21,null,13.0000,null,null,null,13.0000,null,4.0000
Villa Allende,18,59.0000,163.0000,30.0000,29.0000,6.0000,157.0000,9.0000,105.0000
Amanecer,9,189.0000,175.0000,89.0000,100.0000,null,175.0000,41.0000,175.0000
Villa Luro,17,69.0000,216.0000,23.0000,46.0000,21.0000,195.0000,15.0000,132.0000
Boulevard,18,94.0000,255.0000,53.0000,41.0000,30.0000,225.0000,10.0000,228.0000
Bulnes,9,160.0000,96.0000,111.0000,49.0000,3.0000,93.0000,21.0000,73.0000
Villa Allende,10,91.0000,288.0000,44.0000,47.0000,18.0000,270.0000,29.0000,139.0000
Mitre,21,null,null,null,null,null,null,null,null
Amanecer,4,69.0000,39.0000,12.0000,57.0000,null,39.0000,20.0000,39.0000
Ovidio Lagos,5,34.0000,41.0000,8.0000,26.0000,13.0000,28.0000,null,41.0000
Congreso,19,59.0000,80.0000,25.0000,34.0000,3.0000,77.0000,null,78.0000
Garay,19,72.0000,220.0000,18.0000,54.0000,16.0000,204.0000,2.0000,147.0000
Anchorena,14,null,14.0000,null,null,5.0000,9.0000,null,14.0000
Bonpland,2,62.0000,95.0000,29.0000,33.0000,13.0000,82.0000,12.0000,61.0000
AUBASA LP-BA,11,286.0000,234.0000,99.0000,187.0000,22.0000,212.0000,54.0000,181.0000
Zarate Brazo Largo,1,29.0000,49.0000,22.0000,7.0000,null,49.0000,null,49.0000
Bulnes,11,98.0000,135.0000,56.0000,42.0000,1.0000,134.0000,7.0000,107.0000
Cabildo,14,24.0000,60.0000,9.0000,15.0000,9.0000,51.0000,2.0000,19.0000
Florencio Varela,5,40.0000,19.0000,3.0000,37.0000,2.0000,17.0000,9.0000,19.0000
Gral Paz Provincia,19,121.0000,248.0000,49.0000,72.0000,24.0000,224.0000,18.0000,191.0000
Rosario Sur,21,null,null,null,null,null,null,null,null
AUBASA BA-LP,23,88.0000,57.0000,21.0000,67.0000,4.0000,53.0000,21.0000,47.0000
Zarate Brazo Largo,0,37.0000,47.0000,26.0000,11.0000,null,47.0000,null,47.0000
Lima,12,254.0000,286.0000,80.0000,174.0000,26.0000,260.0000,68.0000,226.0000
Amanecer,22,15.0000,41.0000,2.0000,13.0000,null,41.0000,1.0000,41.0000
Trelles,2,21.0000,18.0000,12.0000,9.0000,1.0000,17.0000,8.0000,2.0000
Las Heras,6,132.0000,55.0000,69.0000,63.0000,14.0000,41.0000,13.0000,49.0000
Los Incas,4,25.0000,1.0000,15.0000,10.0000,null,1.0000,8.0000,1.0000
Las Heras,18,86.0000,84.0000,49.0000,37.0000,10.0000,74.0000,10.0000,72.0000
Disc Panamericana,5,6.0000,null,3.0000,3.0000,null,null,null,null
