estacion,hora,dia_semana,q_cafes_llevar_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_llevar_algo_otros_sinbakery_alfajor_cachafaz,q_cafes_local_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_local_algo_otros_sinbakery_alfajor_cachafaz
AUBASA LP-BA,23,6,3.0000,1.0000,1.0000,11.0000
Olivos,6,1,,,,
Villa Luro,21,7,1.0000,,,2.0000
La Carmela,23,5,,,1.0000,1.0000
Congreso,16,2,,1.0000,1.0000,5.0000
Bonpland,12,1,,,1.0000,
Olivos,19,1,,,1.0000,
Maipu,12,3,,,,2.0000
Del Tejar,13,3,2.0000,2.0000,,
OPERADOR LOGISTICO 2,17,2,,,,130.0000
Zarate Brazo Largo,6,5,1.0000,,,
Bonpland,23,2,1.0000,2.0000,,4.0000
Bonpland,4,7,1.0000,1.0000,2.0000,1.0000
Lima,8,4,2.0000,7.0000,,5.0000
Santa Fe,10,3,2.0000,,,
Santa Rita,14,5,,,1.0000,2.0000
Laferrere,12,2,,,2.0000,
Fisherton,3,3,,,3.0000,
San Isidro,2,7,1.0000,,,2.0000
Pilar,19,2,,1.0000,,
El Arco,6,7,,,,
Buen Ayre,17,5,3.0000,6.0000,1.0000,12.0000
OPERADOR LOGISTICO,13,4,,,,
Florencio Varela,0,1,,3.0000,2.0000,6.0000
Bonpland,11,5,,,,3.0000
Santa Rita,11,2,,,,1.0000
Parque Sarmiento,18,3,2.0000,,2.0000,6.0000
Emilio Castro,20,1,,1.0000,1.0000,3.0000
Zarate,14,1,2.0000,1.0000,,
Villa Allende,10,5,,1.0000,,4.0000
El Arco,14,5,,,,2.0000
Alvear,10,1,2.0000,3.0000,,
Villa Luro,10,3,,6.0000,1.0000,3.0000
Gral Paz Capital,0,1,4.0000,3.0000,1.0000,11.0000
Las Heras,17,7,,,3.0000,2.0000
Dialogos,0,6,,,,
Parque Sarmiento,10,5,,1.0000,,1.0000
Ovidio Lagos,18,4,2.0000,,,4.0000
Quilmes,23,1,,,,1.0000
Gral Paz Provincia,6,6,3.0000,2.0000,1.0000,2.0000
Parque Sarmiento,0,7,,,,4.0000
La Carmela,4,5,,,,1.0000
Parque Sarmiento,14,2,,,,4.0000
Santa Fe,11,3,,,,1.0000
Rivadavia,8,6,,,,
OPERADOR LOGISTICO 2,14,6,,,,905.0000
America,17,3,,,,5.0000
Floresta,8,4,1.0000,1.0000,1.0000,1.0000
Buen Ayre,21,1,,3.0000,,8.0000
El Arco,18,1,,1.0000,3.0000,3.0000
Floresta,18,3,,,,1.0000
Buen Ayre,23,2,1.0000,,,2.0000
Olivos,18,4,,,,
AUBASA LP-BA,13,4,,2.0000,,9.0000
Gutierrez,15,2,4.0000,3.0000,1.0000,2.0000
Santa Rita,7,2,,,,2.0000
El Arco,9,4,1.0000,,2.0000,1.0000
Florencio Varela,20,1,2.0000,,,2.0000
Congreso,16,7,,,1.0000,
Zarate,9,6,,,,
Parque Sarmiento,10,7,2.0000,3.0000,,4.0000
Alsina,0,5,2.0000,,,
Ovidio Lagos,0,7,,,,1.0000
Del Tejar,14,5,,2.0000,,2.0000
Maschwitz,22,5,,,,
Villa Allende,16,7,,2.0000,,1.0000
Las Heras,17,2,1.0000,2.0000,3.0000,1.0000
Alvear,19,7,,2.0000,1.0000,5.0000
Emilio Castro,8,6,1.0000,,1.0000,
Dialogos,8,7,,,1.0000,
El Club,6,7,2.0000,1.0000,,
Fisherton,10,3,,,,2.0000
AUBASA BA-LP,10,3,5.0000,2.0000,,2.0000
America,5,3,,,,
San Isidro,4,5,,,,1.0000
AUBASA BA-LP,17,3,2.0000,8.0000,3.0000,2.0000
Ovidio Lagos,13,4,,,,
Florencio Varela,15,5,,,4.0000,1.0000
Boulevard,18,6,2.0000,3.0000,,1.0000
Florencio Varela,5,7,,,4.0000,
Buen Ayre,3,2,,,1.0000,1.0000
La Carmela,5,6,2.0000,,,1.0000
Luis Viale,10,3,,,1.0000,1.0000
Gral Paz Provincia,8,2,,2.0000,1.0000,2.0000
Centenera,5,6,2.0000,,1.0000,
Congreso,5,4,,1.0000,,
Villa Luro,22,1,,,,3.0000
AUBASA BA-LP,10,1,1.0000,6.0000,,4.0000
Dialogos,10,7,4.0000,,,
La Bandera,16,2,1.0000,,1.0000,5.0000
San Isidro,12,3,,,,2.0000
Zarate,10,7,,2.0000,,
Santa Rita,0,6,,,,4.0000
Pilar,16,1,,,4.0000,1.0000
Garay,23,2,,,,1.0000
El Club,5,5,,2.0000,,
Lima,11,2,1.0000,4.0000,2.0000,8.0000
Del Tejar,6,6,1.0000,3.0000,1.0000,
America,12,1,,,,1.0000
Alsina,8,3,,1.0000,,1.0000
Olivos,14,4,,,,2.0000
Cabildo,10,1,,,,
Florencio Varela,15,6,,,,1.0000
Congreso,5,1,,1.0000,,
Del Tejar,15,6,,,,
America,13,4,,,,
Santa Fe,13,7,,,,
Alberdi,19,1,,,,
Zarate,12,2,,,,
Parque Sarmiento,7,6,1.0000,1.0000,1.0000,1.0000
Dialogos,11,1,,,1.0000,
CORS Alem,10,5,2.0000,2.0000,,
Alvear,13,1,1.0000,2.0000,,15.0000
AUBASA BA-LP,9,4,5.0000,5.0000,,2.0000
Las Heras,21,7,,,,
Bonpland,10,2,,3.0000,,
Fisherton,3,1,,1.0000,2.0000,
La Bandera,9,4,,1.0000,,1.0000
AUBASA BA-LP,21,1,,5.0000,1.0000,4.0000
AUBASA BA-LP,0,4,,,1.0000,8.0000
Olivos,7,6,2.0000,1.0000,1.0000,
Villa Allende,22,2,,,,
Amanecer,10,5,,,,
Floresta,16,7,,,,
Villa Luro,17,3,,2.0000,1.0000,3.0000
Alvear,22,6,,2.0000,1.0000,6.0000
Gral Paz Capital,5,7,1.0000,1.0000,,
El Club,21,1,,3.0000,,
Florencio Varela,15,3,,,1.0000,
Arroyo Seco,9,5,7.0000,11.0000,5.0000,8.0000
Trelles,12,7,,,,1.0000
San Isidro,22,4,2.0000,,,6.0000
Pilar,16,6,,,1.0000,5.0000
Maipu,18,5,,3.0000,3.0000,2.0000
Florencio Varela,23,5,,,,
Gral Paz Capital,21,3,,7.0000,,2.0000
Dialogos,0,5,,,,
Alsina,23,1,,,,
Pilar,18,2,,1.0000,,2.0000
El Club,17,6,1.0000,,1.0000,11.0000
Pilar,5,1,,1.0000,1.0000,1.0000
AUBASA BA-LP,11,6,9.0000,7.0000,,3.0000
Ovidio Lagos,22,4,,,,
Amanecer,7,7,,,,
Gral Paz Capital,3,3,3.0000,1.0000,,1.0000
Zarate,5,7,1.0000,,,
Zarate Brazo Largo,22,4,,1.0000,,
CORS Alem,16,2,2.0000,1.0000,,
Trelles,21,2,,,,
Zarate Brazo Largo,9,7,1.0000,4.0000,,
AUBASA BA-LP,19,3,1.0000,2.0000,,4.0000
Bulnes,16,4,,2.0000,,5.0000
Floresta,22,6,,,,1.0000
America,21,3,,,,2.0000
La Carmela,1,1,,,,
Los Incas,1,3,,,,
Del Tejar,19,5,1.0000,,,
Zarate,23,7,,,,
Emilio Castro,23,6,1.0000,,,
Quilmes,22,3,,,,
Pilar,7,5,5.0000,,,1.0000
Alsina,21,4,1.0000,,,
Los Incas,17,1,1.0000,1.0000,,
Pilar,20,6,,,,
Alvear,6,7,1.0000,,1.0000,5.0000
Pilar,18,6,,2.0000,1.0000,6.0000
Centenera,6,2,,1.0000,,
Fisherton,7,6,,,,
Bonpland,5,2,1.0000,2.0000,,
Luis Viale,18,7,,,,1.0000
Dialogos,9,2,,,,
Laferrere,15,2,,,,
El Club,19,2,2.0000,4.0000,1.0000,1.0000
