estacion,hora,q_cafes_llevar_algo_otros_sinbakery_negro_choco,q_cafes_local_algo_otros_sinbakery_negro_choco
Alsina,21,null,null
Alvear,18,4.0000,13.0000
Villa Allende,13,1.0000,34.0000
Fisherton,7,6.0000,3.0000
Maschwitz,7,null,null
Gral Paz Provincia,4,3.0000,2.0000
Gral Paz Provincia,6,null,2.0000
Cabildo,23,null,2.0000
San Isidro,5,1.0000,null
Luis Viale,7,1.0000,2.0000
Fisherton,14,6.0000,19.0000
Boulevard,21,4.0000,null
Villa Luro,21,7.0000,24.0000
Gutierrez,19,4.0000,2.0000
Amanecer,16,7.0000,null
Los Incas,13,null,null
Rosario Sur,14,null,null
Arroyo Seco,20,33.0000,58.0000
Amanecer,20,null,null
Villa Luro,20,4.0000,16.0000
La Carmela,12,4.0000,null
Emilio Castro,11,null,3.0000
Santa Fe,21,5.0000,1.0000
La Bandera,8,null,1.0000
Amanecer,8,1.0000,null
El Club,22,9.0000,20.0000
Gutierrez,17,8.0000,9.0000
AUBASA LP-BA,13,17.0000,49.0000
Los Incas,22,null,null
San Isidro,11,3.0000,8.0000
Maschwitz,5,null,4.0000
Buen Ayre,22,7.0000,13.0000
AUBASA LP-BA,7,15.0000,3.0000
AUBASA LP-BA,14,22.0000,56.0000
Garay,17,null,11.0000
Gral Paz Capital,19,14.0000,null
Fisherton,21,2.0000,5.0000
Los Incas,18,1.0000,null
AUBASA BA-LP,9,17.0000,11.0000
Dialogos,8,1.0000,null
Parque Sarmiento,14,53.0000,9.0000
Los Incas,16,4.0000,null
Florencio Varela,18,1.0000,null
Boulevard,14,7.0000,32.0000
Villa Allende,16,12.0000,65.0000
DISC Echeverria,20,null,null
Luis Viale,9,2.0000,1.0000
Lima,13,53.0000,48.0000
Rosario Sur,13,null,null
Disc Panamericana,17,null,null
Zarate Brazo Largo,3,null,null
Las Heras,8,null,null
DISC Echeverria,16,null,null
La Bandera,6,null,1.0000
Gral Paz Capital,4,5.0000,null
El Arco,8,1.0000,7.0000
Bulnes,1,null,null
Santa Rita,4,null,null
Rosario Sur,11,null,null
Zarate Brazo Largo,10,null,null
Rosario Sur,17,null,null
Las Heras,3,3.0000,null
Alvear,8,3.0000,5.0000
El Arco,6,1.0000,3.0000
Santa Fe,6,null,null
DISC Echeverria,17,null,2.0000
Disc Panamericana,23,null,null
DISC Echeverria,9,null,null
DISC Echeverria,4,null,null
Rosario Sur,5,null,null
Rivadavia,21,null,null
Bulnes,3,null,null
Dialogos,3,null,null
Anchorena,19,null,null
Boulevard,22,null,null
Boulevard,5,null,null
Anchorena,8,null,null
Anchorena,7,null,null
Alsina,23,2.0000,null
Del Tejar,7,null,null
Emilio Castro,4,2.0000,1.0000
Fisherton,0,4.0000,null
Villa Luro,12,2.0000,21.0000
Del Tejar,2,1.0000,null
Olivos,18,2.0000,6.0000
San Isidro,22,1.0000,6.0000
Garay,21,null,null
Centenera,5,6.0000,null
Del Tejar,21,1.0000,null
Del Tejar,13,null,null
Luis Viale,11,2.0000,4.0000
Ovidio Lagos,15,null,null
Las Heras,22,6.0000,1.0000
Amanecer,19,4.0000,null
Alvear,14,11.0000,23.0000
Congreso,9,null,2.0000
Alberdi,12,null,null
Arroyo Seco,9,9.0000,34.0000
Bulnes,16,2.0000,5.0000
Bonpland,9,1.0000,6.0000
Floresta,15,4.0000,null
Las Heras,0,3.0000,5.0000
Dialogos,19,1.0000,3.0000
Las Heras,20,1.0000,5.0000
Emilio Castro,20,6.0000,2.0000
Buen Ayre,12,7.0000,21.0000
Arroyo Seco,19,35.0000,80.0000
Ovidio Lagos,13,null,null
Lima,11,27.0000,25.0000
Alsina,2,2.0000,null
Luis Viale,21,3.0000,12.0000
Disc Panamericana,19,null,null
Gral Paz Capital,6,6.0000,null
Villa Allende,21,2.0000,9.0000
Alberdi,15,null,null
Zarate Brazo Largo,7,null,null
Trelles,7,3.0000,4.0000
Villa Allende,8,9.0000,33.0000
America,2,1.0000,null
Floresta,12,null,null
Lima,2,39.0000,11.0000
Trelles,22,3.0000,9.0000
Floresta,7,null,null
La Bandera,10,null,11.0000
America,20,4.0000,null
Florencio Varela,16,null,null
Laferrere,5,2.0000,3.0000
Villa Allende,20,1.0000,30.0000
AUBASA LP-BA,19,27.0000,18.0000
Fisherton,10,1.0000,13.0000
Alvear,17,13.0000,12.0000
Alsina,19,1.0000,null
Parque Sarmiento,15,50.0000,25.0000
Libertador,11,5.0000,40.0000
Zarate,10,null,1.0000
El Arco,14,1.0000,30.0000
Buen Ayre,1,5.0000,17.0000
El Arco,18,4.0000,19.0000
Centenera,7,3.0000,null
El Arco,11,1.0000,12.0000
Arroyo Seco,10,25.0000,39.0000
Bonpland,15,5.0000,23.0000
Libertador,0,23.0000,30.0000
Del Tejar,8,null,null
Santa Fe,9,1.0000,1.0000
El Club,8,7.0000,3.0000
Pilar,9,null,null
Las Heras,7,1.0000,null
Laferrere,22,3.0000,6.0000
America,16,4.0000,null
Bonpland,21,2.0000,9.0000
Libertador,13,7.0000,42.0000
Trelles,0,4.0000,12.0000
Parque Sarmiento,22,1.0000,11.0000
Alsina,15,3.0000,2.0000
Luis Viale,1,9.0000,5.0000
AUBASA BA-LP,6,13.0000,4.0000
Olivos,3,1.0000,5.0000
Zarate Brazo Largo,5,null,null
Alvear,3,2.0000,5.0000
