estacion,hora,dia_semana,q_cafes_llevar_algo_bakery_negro1,q_cafes_local_algo_bakery_negro1
Villa Allende,4,6,1.0000,1.0000
America,1,2,1.0000,4.0000
Trelles,21,7,1.0000,4.0000
Cabildo,22,3,,
La Bandera,23,4,,
Cabildo,0,6,,
La Carmela,21,3,,
Los Incas,21,1,,
Pilar,0,3,,
Santa Fe,20,3,1.0000,
Villa Allende,22,5,,1.0000
CORS EVENTOS,12,6,,
Boulevard,0,6,,1.0000
La Bandera,0,6,,
CORS EVENTOS,19,1,,
Los Incas,1,1,,
Villa Allende,0,7,,3.0000
Santa Fe,21,2,,
Santa Fe,21,6,,
Rivadavia,10,3,,
Villa Allende,5,2,,
Santa Rita,6,2,10.0000,6.0000
America,7,3,9.0000,52.0000
Gral Paz Capital,11,4,8.0000,44.0000
Lima,10,4,75.0000,151.0000
AUBASA LP-BA,9,6,43.0000,100.0000
Alsina,7,5,5.0000,10.0000
El Club,6,3,8.0000,26.0000
El Club,15,6,2.0000,18.0000
Bulnes,8,3,2.0000,16.0000
AUBASA BA-LP,16,3,14.0000,38.0000
Alvear,18,1,4.0000,51.0000
La Bandera,16,3,2.0000,
Olivos,12,4,1.0000,
Parque Sarmiento,17,5,2.0000,10.0000
La Carmela,20,6,,
Buen Ayre,8,3,57.0000,99.0000
Luis Viale,1,4,1.0000,1.0000
Ovidio Lagos,7,1,,1.0000
Los Incas,13,3,,
Emilio Castro,5,5,2.0000,1.0000
Garay,14,3,2.0000,18.0000
Gral Paz Provincia,13,7,,24.0000
Garay,8,1,1.0000,16.0000
Trelles,21,1,,2.0000
Trelles,7,7,5.0000,11.0000
Fisherton,14,3,1.0000,1.0000
Zarate Brazo Largo,17,5,2.0000,12.0000
Parque Sarmiento,8,1,5.0000,10.0000
Gral Paz Capital,20,7,4.0000,7.0000
Olivos,17,1,,12.0000
La Carmela,5,3,,1.0000
Olivos,7,7,3.0000,
El Arco,10,1,55.0000,30.0000
Dialogos,5,4,4.0000,2.0000
Quilmes,10,6,,14.0000
Garay,8,6,19.0000,25.0000
Villa Luro,18,4,3.0000,24.0000
Congreso,12,3,1.0000,12.0000
Zarate Brazo Largo,5,5,14.0000,7.0000
Villa Luro,10,4,11.0000,50.0000
Gral Paz Capital,17,2,7.0000,15.0000
Olivos,0,4,,
Amanecer,6,2,17.0000,5.0000
AUBASA LP-BA,23,1,2.0000,
Centenera,20,3,2.0000,4.0000
Garay,8,2,10.0000,24.0000
Fisherton,18,4,7.0000,1.0000
Alsina,0,7,,1.0000
Zarate Brazo Largo,3,1,3.0000,
Quilmes,6,2,,
Pilar,11,1,,4.0000
Quilmes,19,1,1.0000,
Alsina,14,1,4.0000,6.0000
CORS Alem,13,2,4.0000,
AUBASA LP-BA,10,2,16.0000,69.0000
Lima,16,4,38.0000,62.0000
AUBASA BA-LP,8,5,61.0000,92.0000
America,9,3,3.0000,39.0000
Parque Sarmiento,11,7,6.0000,18.0000
La Bandera,18,6,,1.0000
Luis Viale,5,7,1.0000,7.0000
Boulevard,18,2,4.0000,14.0000
AUBASA BA-LP,9,1,44.0000,70.0000
El Club,7,7,12.0000,35.0000
Florencio Varela,8,1,4.0000,4.0000
Alvear,14,1,2.0000,10.0000
Trelles,8,2,5.0000,12.0000
Congreso,8,5,9.0000,16.0000
San Isidro,8,4,16.0000,40.0000
Zarate,4,1,,
Congreso,9,7,12.0000,10.0000
Congreso,17,6,1.0000,14.0000
Santa Rita,7,3,24.0000,4.0000
Gutierrez,23,4,,1.0000
Arroyo Seco,19,6,30.0000,35.0000
AUBASA BA-LP,12,1,27.0000,39.0000
AUBASA LP-BA,9,7,26.0000,34.0000
AUBASA LP-BA,16,5,6.0000,51.0000
San Isidro,16,2,2.0000,24.0000
Olivos,9,5,1.0000,6.0000
Bonpland,4,1,3.0000,15.0000
Gral Paz Provincia,11,4,6.0000,41.0000
AUBASA LP-BA,17,4,12.0000,44.0000
Arroyo Seco,12,5,11.0000,48.0000
Buen Ayre,11,5,14.0000,78.0000
Garay,10,5,5.0000,34.0000
Amanecer,10,3,10.0000,8.0000
Boulevard,8,7,12.0000,15.0000
Fisherton,1,1,1.0000,8.0000
La Bandera,13,3,,
Amanecer,17,7,3.0000,4.0000
Zarate,4,6,,
Dialogos,10,1,4.0000,11.0000
Fisherton,19,2,4.0000,
Gral Paz Capital,18,5,10.0000,24.0000
Cabildo,18,3,,
Garay,20,4,3.0000,12.0000
Alvear,14,3,2.0000,31.0000
Gutierrez,10,2,5.0000,21.0000
Trelles,22,6,,2.0000
Amanecer,17,3,5.0000,8.0000
Gral Paz Provincia,8,5,21.0000,61.0000
Fisherton,4,4,9.0000,11.0000
Quilmes,4,7,1.0000,
Santa Fe,18,4,1.0000,
Bonpland,17,2,2.0000,30.0000
Dialogos,7,4,1.0000,11.0000
AUBASA LP-BA,6,7,22.0000,9.0000
Dialogos,16,2,,1.0000
Bulnes,11,4,2.0000,21.0000
Garay,19,4,3.0000,15.0000
AUBASA LP-BA,8,1,15.0000,28.0000
Floresta,11,2,4.0000,9.0000
Centenera,7,2,4.0000,6.0000
Zarate Brazo Largo,20,3,2.0000,1.0000
La Carmela,16,7,,1.0000
Florencio Varela,19,7,,2.0000
CORS Alem,11,4,4.0000,
Luis Viale,22,4,,3.0000
Floresta,3,3,,
America,18,6,1.0000,20.0000
Arroyo Seco,23,2,11.0000,8.0000
Garay,13,7,4.0000,9.0000
Quilmes,3,7,,3.0000
Gutierrez,9,6,7.0000,27.0000
AUBASA BA-LP,3,1,12.0000,9.0000
Zarate,8,5,,
Pilar,17,5,,1.0000
Floresta,11,6,9.0000,11.0000
Gutierrez,13,5,2.0000,9.0000
El Club,15,1,2.0000,25.0000
Santa Fe,15,2,,3.0000
Alsina,10,6,1.0000,17.0000
Congreso,12,2,2.0000,14.0000
Amanecer,9,5,13.0000,24.0000
AUBASA LP-BA,16,6,16.0000,33.0000
La Carmela,9,6,,
Trelles,5,2,2.0000,18.0000
Florencio Varela,17,4,1.0000,
Gral Paz Provincia,0,4,2.0000,10.0000
Gral Paz Provincia,20,3,4.0000,10.0000
El Arco,9,1,48.0000,17.0000
Villa Luro,4,1,2.0000,11.0000
Alvear,10,3,11.0000,66.0000
Bonpland,10,3,8.0000,58.0000
Emilio Castro,3,3,,
Maipu,4,7,,
Amanecer,10,2,11.0000,4.0000
Fisherton,20,3,1.0000,
Zarate,11,6,,
Alvear,7,2,25.0000,48.0000
Laferrere,10,3,,2.0000
Zarate,5,4,,
Arroyo Seco,23,6,4.0000,9.0000
La Carmela,6,6,,2.0000
Las Heras,9,2,24.0000,
Centenera,12,6,,11.0000
El Arco,11,6,10.0000,44.0000
AUBASA LP-BA,17,6,7.0000,34.0000
La Bandera,14,1,,1.0000
Floresta,9,2,6.0000,6.0000
Emilio Castro,17,2,4.0000,1.0000
Luis Viale,2,2,,3.0000
Alsina,17,2,1.0000,6.0000
El Club,11,3,6.0000,50.0000
Arroyo Seco,5,7,65.0000,26.0000
Arroyo Seco,20,1,28.0000,28.0000
Luis Viale,22,1,1.0000,1.0000
Floresta,11,4,,15.0000
Boulevard,9,7,18.0000,21.0000
Las Heras,16,4,6.0000,1.0000
America,7,5,2.0000,47.0000
Congreso,18,7,2.0000,8.0000
Lima,20,1,22.0000,35.0000
Trelles,8,3,10.0000,15.0000
El Club,18,6,3.0000,32.0000
Bulnes,20,4,,2.0000
Bonpland,3,1,3.0000,19.0000
Zarate,15,7,,
Maipu,1,6,,
Zarate,7,3,,
Alvear,11,4,3.0000,50.0000
Gral Paz Provincia,16,6,6.0000,18.0000
Maipu,8,3,,
Alsina,13,4,,7.0000
Floresta,21,2,2.0000,1.0000
Buen Ayre,5,6,11.0000,17.0000
Gutierrez,6,4,24.0000,9.0000
Del Tejar,21,5,,6.0000
Bulnes,11,6,3.0000,16.0000
Floresta,19,5,,1.0000
Villa Luro,8,3,10.0000,41.0000
Dialogos,18,3,,3.0000
Buen Ayre,11,2,30.0000,75.0000
Pilar,16,3,,1.0000
Del Tejar,8,5,,19.0000
Pilar,16,2,,1.0000
Parque Sarmiento,12,2,2.0000,16.0000
Fisherton,16,5,2.0000,2.0000
CORS Alem,9,6,21.0000,
Quilmes,6,6,,1.0000
AUBASA LP-BA,22,6,2.0000,
AUBASA LP-BA,20,2,7.0000,5.0000
Trelles,10,1,4.0000,11.0000
Bulnes,14,5,,4.0000
Laferrere,17,3,1.0000,
Ovidio Lagos,16,2,,2.0000
Villa Luro,19,3,1.0000,15.0000
Buen Ayre,18,5,12.0000,59.0000
Fisherton,6,7,35.0000,7.0000
America,4,2,,4.0000
Buen Ayre,9,3,51.0000,148.0000
Maipu,11,7,,
Arroyo Seco,21,3,6.0000,7.0000
Bulnes,8,6,6.0000,11.0000
Villa Allende,11,2,12.0000,42.0000
El Club,10,2,6.0000,63.0000
AUBASA BA-LP,8,2,52.0000,83.0000
Zarate,5,3,,
Maipu,19,6,,
Gral Paz Provincia,19,2,6.0000,7.0000
Alvear,21,2,1.0000,3.0000
La Bandera,20,3,,
San Isidro,14,5,5.0000,9.0000
Pilar,4,5,2.0000,2.0000
Buen Ayre,23,1,1.0000,3.0000
Del Tejar,16,2,,10.0000
Gral Paz Capital,16,4,4.0000,17.0000
Buen Ayre,2,6,2.0000,9.0000
Garay,19,1,3.0000,21.0000
Fisherton,14,1,,
Bonpland,23,1,,2.0000
Emilio Castro,8,7,11.0000,5.0000
Arroyo Seco,22,6,6.0000,8.0000
Fisherton,4,3,4.0000,2.0000
Centenera,9,3,10.0000,30.0000
Villa Allende,17,4,4.0000,34.0000
Dialogos,23,7,,
Parque Sarmiento,19,3,,15.0000
Santa Rita,1,6,,1.0000
Laferrere,10,2,2.0000,2.0000
El Club,8,3,16.0000,73.0000
Las Heras,8,2,19.0000,7.0000
Lima,7,4,90.0000,132.0000
Floresta,6,5,5.0000,4.0000
Lima,17,5,50.0000,95.0000
Boulevard,16,5,2.0000,7.0000
Dialogos,16,5,,3.0000
Buen Ayre,17,2,10.0000,74.0000
Fisherton,12,1,6.0000,3.0000
Alsina,7,4,1.0000,11.0000
Alvear,4,7,8.0000,9.0000
Centenera,10,1,5.0000,7.0000
Olivos,17,3,,21.0000
El Club,20,6,,5.0000
Emilio Castro,12,5,1.0000,
Laferrere,4,6,3.0000,
Los Incas,11,5,,
Florencio Varela,4,1,4.0000,
La Bandera,12,4,4.0000,
Las Heras,13,2,3.0000,2.0000
Santa Fe,12,7,1.0000,1.0000
Quilmes,12,2,,
Dialogos,8,1,2.0000,7.0000
El Arco,17,2,8.0000,19.0000
Zarate Brazo Largo,6,2,20.0000,21.0000
AUBASA BA-LP,4,3,11.0000,8.0000
Lima,9,4,100.0000,163.0000
Arroyo Seco,15,2,24.0000,50.0000
Villa Luro,10,6,6.0000,48.0000
Gutierrez,7,2,19.0000,21.0000
Pilar,9,6,3.0000,9.0000
Del Tejar,1,2,,2.0000
Gral Paz Capital,5,1,7.0000,13.0000
Congreso,8,2,4.0000,21.0000
AUBASA LP-BA,7,5,40.0000,29.0000
Arroyo Seco,0,3,8.0000,5.0000
Zarate Brazo Largo,3,7,7.0000,1.0000
Lima,2,2,23.0000,17.0000
Floresta,0,6,5.0000,
Olivos,8,5,2.0000,1.0000
Los Incas,5,3,,
Garay,5,3,1.0000,1.0000
Del Tejar,19,3,1.0000,15.0000
El Arco,20,3,2.0000,13.0000
Gral Paz Capital,22,3,1.0000,8.0000
America,23,7,1.0000,4.0000
Quilmes,14,5,,5.0000
Los Incas,9,3,,
Fisherton,14,4,2.0000,
Villa Luro,21,2,,4.0000
CORS Alem,9,7,7.0000,
AUBASA LP-BA,2,1,,6.0000
Parque Sarmiento,13,2,2.0000,5.0000
Alsina,15,1,1.0000,5.0000
Trelles,10,6,1.0000,10.0000
Alsina,3,7,,
AUBASA BA-LP,0,1,2.0000,15.0000
Los Incas,10,4,,
Emilio Castro,15,3,2.0000,
Florencio Varela,0,2,1.0000,
Maipu,19,2,,1.0000
Maipu,22,1,,
America,14,3,,15.0000
Bonpland,20,3,2.0000,12.0000
El Club,12,1,8.0000,29.0000
Congreso,1,5,2.0000,1.0000
America,13,7,1.0000,25.0000
Zarate,6,6,,
Garay,5,7,3.0000,1.0000
Maipu,5,7,,1.0000
Boulevard,13,2,1.0000,4.0000
Parque Sarmiento,12,5,2.0000,19.0000
Bonpland,21,7,3.0000,11.0000
Bonpland,15,5,1.0000,28.0000
America,17,1,,12.0000
Ovidio Lagos,11,4,,4.0000
San Isidro,15,6,2.0000,14.0000
Zarate,19,6,,
Las Heras,13,6,6.0000,
Santa Rita,6,6,15.0000,4.0000
Gutierrez,2,5,,2.0000
Bulnes,12,4,,6.0000
La Bandera,13,6,6.0000,
Floresta,4,7,2.0000,
Zarate,18,2,,
Garay,0,7,1.0000,
Cabildo,17,6,,
Bulnes,13,4,,8.0000
Laferrere,14,4,,1.0000
Pilar,14,3,,
El Arco,19,2,5.0000,14.0000
Alsina,21,6,,5.0000
Buen Ayre,0,2,,3.0000
Congreso,21,6,1.0000,4.0000
Dialogos,16,7,,3.0000
Olivos,14,1,,1.0000
Floresta,21,4,,
Ovidio Lagos,4,4,,
AUBASA LP-BA,4,7,7.0000,7.0000
Gral Paz Capital,3,6,8.0000,5.0000
Gral Paz Provincia,3,6,5.0000,6.0000
Santa Rita,21,3,,2.0000
America,0,4,1.0000,2.0000
Floresta,9,1,4.0000,15.0000
Santa Fe,7,6,12.0000,13.0000
Quilmes,16,6,1.0000,3.0000
Emilio Castro,14,2,4.0000,
Emilio Castro,8,4,10.0000,4.0000
Villa Allende,7,1,14.0000,15.0000
Santa Rita,19,2,2.0000,2.0000
Zarate Brazo Largo,20,7,8.0000,2.0000
Las Heras,4,5,2.0000,
Trelles,5,1,2.0000,10.0000
Alsina,20,4,,4.0000
Alvear,4,4,5.0000,7.0000
Parque Sarmiento,5,6,16.0000,3.0000
Maipu,13,3,,
Pilar,1,3,,
Villa Allende,13,7,3.0000,8.0000
Buen Ayre,1,7,1.0000,8.0000
Centenera,19,7,1.0000,5.0000
La Carmela,2,2,,
Fisherton,22,7,,4.0000
Parque Sarmiento,20,3,,7.0000
Ovidio Lagos,4,5,,
Dialogos,1,6,,1.0000
La Carmela,21,7,,1.0000
Gral Paz Capital,23,5,,4.0000
Quilmes,21,6,,2.0000
Bonpland,4,5,,5.0000
Villa Luro,1,5,,1.0000
Emilio Castro,15,4,4.0000,2.0000
Maipu,1,2,,
Centenera,0,1,,
Santa Fe,15,6,5.0000,
San Isidro,21,5,,2.0000
Gral Paz Capital,0,4,1.0000,2.0000
Congreso,14,1,,2.0000
Villa Allende,19,5,6.0000,25.0000
El Arco,4,4,6.0000,3.0000
Boulevard,0,7,,
Maipu,5,2,,
Olivos,3,1,,
America,21,1,2.0000,3.0000
Floresta,2,2,,
La Carmela,0,2,,
La Carmela,16,6,,
Bonpland,1,2,,5.0000
Centenera,21,2,,
La Bandera,22,5,,
Congreso,4,5,1.0000,1.0000
Villa Allende,20,4,1.0000,8.0000
Florencio Varela,23,2,6.0000,
Gutierrez,21,5,1.0000,1.0000
Maipu,0,2,,
Luis Viale,21,7,1.0000,2.0000
Parque Sarmiento,0,6,,
Quilmes,3,5,,
Laferrere,2,1,2.0000,
Pilar,13,4,,2.0000
Maipu,19,1,,
La Bandera,5,5,,
AUBASA BA-LP,2,3,6.0000,1.0000
Los Incas,3,7,,
La Carmela,23,6,,
Congreso,2,2,2.0000,2.0000
Centenera,15,3,,5.0000
Buen Ayre,22,7,,5.0000
Florencio Varela,1,5,8.0000,
Los Incas,19,4,,
Laferrere,2,5,,
Bulnes,6,3,,
Dialogos,22,7,,2.0000
Alsina,23,2,,1.0000
Florencio Varela,21,2,,
Zarate,12,6,,2.0000
Cabildo,20,2,,
Fisherton,2,5,1.0000,4.0000
Boulevard,20,4,4.0000,
Ovidio Lagos,22,7,,
Gral Paz Capital,0,5,,3.0000
Amanecer,1,5,1.0000,1.0000
Villa Allende,5,6,,1.0000
Laferrere,1,7,2.0000,
Amanecer,0,6,,2.0000
San Isidro,0,6,,
Congreso,3,3,2.0000,
Dialogos,12,6,,5.0000
Floresta,21,7,1.0000,
Buen Ayre,22,2,,1.0000
Las Heras,23,3,,
Florencio Varela,22,2,1.0000,
Cabildo,13,1,,
Dialogos,22,2,,
Santa Fe,20,2,,1.0000
Laferrere,21,3,1.0000,
Emilio Castro,0,2,1.0000,
Del Tejar,4,2,1.0000,
Las Heras,2,5,1.0000,
Amanecer,21,2,,1.0000
Zarate,20,7,,
Los Incas,19,5,,
Ovidio Lagos,23,4,,
Olivos,23,2,,
Gutierrez,23,6,,1.0000
San Isidro,2,4,,2.0000
Santa Fe,14,7,,
Zarate Brazo Largo,0,5,2.0000,
Floresta,3,6,,1.0000
Bulnes,22,4,,
CORS EVENTOS,12,4,,
Maipu,22,7,,2.0000
Quilmes,22,7,,
Olivos,1,5,,
Gutierrez,3,1,,2.0000
Gral Paz Provincia,22,3,,
Gutierrez,22,6,,
Centenera,23,7,,
La Carmela,23,7,,
Amanecer,0,5,,1.0000
Laferrere,2,2,1.0000,
Bulnes,21,3,,
Maipu,22,4,,
Zarate,22,1,,
Emilio Castro,22,2,,
Pilar,22,5,,1.0000
Centenera,23,5,,
Pilar,0,2,,
La Bandera,3,3,,
Cabildo,2,4,,
Zarate,3,5,,
Florencio Varela,22,4,3.0000,
La Bandera,0,4,,
La Bandera,22,4,,
Trelles,2,3,,
Emilio Castro,21,3,1.0000,
Los Incas,2,2,,
Santa Fe,22,4,,
CORS EVENTOS,13,1,,
Villa Allende,4,5,,
Ovidio Lagos,1,3,,
America,0,6,1.0000,2.0000
Gral Paz Capital,3,2,2.0000,
Buen Ayre,0,3,4.0000,18.0000
Arroyo Seco,10,2,66.0000,144.0000
Cabildo,16,2,,
Florencio Varela,8,3,6.0000,17.0000
Villa Luro,9,6,10.0000,66.0000
Santa Rita,5,6,7.0000,
Amanecer,12,4,3.0000,2.0000
Las Heras,11,4,4.0000,1.0000
Villa Luro,15,3,1.0000,17.0000
Villa Luro,13,5,,18.0000
Gral Paz Capital,11,6,11.0000,28.0000
Amanecer,7,3,16.0000,16.0000
America,11,6,2.0000,47.0000
Del Tejar,8,3,5.0000,17.0000
Luis Viale,0,5,,2.0000
Luis Viale,18,3,12.0000,14.0000
Maipu,9,1,,
Del Tejar,0,6,,4.0000
Quilmes,7,6,,3.0000
Cabildo,14,6,,
Bonpland,21,6,3.0000,14.0000
Laferrere,6,1,2.0000,
El Club,22,6,,1.0000
Fisherton,16,3,6.0000,
Trelles,11,3,1.0000,30.0000
Alsina,22,7,,1.0000
Villa Luro,13,7,3.0000,9.0000
Pilar,6,1,1.0000,9.0000
Ovidio Lagos,18,6,,3.0000
Santa Rita,10,7,5.0000,18.0000
Alvear,12,2,3.0000,34.0000
Pilar,9,7,5.0000,29.0000
La Bandera,19,6,1.0000,1.0000
Garay,22,6,,4.0000
Bonpland,19,3,3.0000,16.0000
Villa Luro,19,6,5.0000,19.0000
Las Heras,0,2,,
Olivos,1,2,,
Alvear,4,2,1.0000,6.0000
Luis Viale,15,2,1.0000,22.0000
Garay,17,1,1.0000,15.0000
Emilio Castro,8,2,5.0000,6.0000
Trelles,12,2,2.0000,13.0000
Arroyo Seco,10,7,104.0000,164.0000
Cabildo,9,6,,
AUBASA BA-LP,10,7,43.0000,120.0000
Bulnes,10,2,2.0000,21.0000
Cabildo,13,6,,
Gral Paz Provincia,18,1,4.0000,27.0000
Boulevard,9,5,16.0000,31.0000
Arroyo Seco,15,3,19.0000,36.0000
Zarate,8,1,,
Del Tejar,5,5,,3.0000
Fisherton,11,2,3.0000,2.0000
Cabildo,6,4,,
Zarate Brazo Largo,7,7,34.0000,56.0000
Alsina,17,7,1.0000,7.0000
Alsina,19,4,2.0000,4.0000
Floresta,21,5,1.0000,2.0000
El Arco,6,4,34.0000,11.0000
Pilar,11,7,2.0000,12.0000
Parque Sarmiento,3,2,,
Fisherton,10,7,6.0000,13.0000
Buen Ayre,7,7,27.0000,38.0000
Floresta,7,6,7.0000,6.0000
Trelles,7,2,2.0000,22.0000
America,13,3,,9.0000
CORS Alem,11,7,1.0000,
Buen Ayre,14,4,3.0000,15.0000
Fisherton,17,3,3.0000,5.0000
Gutierrez,9,4,8.0000,35.0000
Olivos,12,2,,4.0000
Del Tejar,7,6,1.0000,21.0000
Florencio Varela,13,3,4.0000,6.0000
Alvear,0,7,1.0000,8.0000
Zarate Brazo Largo,16,1,9.0000,3.0000
Pilar,7,6,2.0000,4.0000
Congreso,19,6,,10.0000
Lima,3,7,20.0000,10.0000
CORS Alem,7,4,29.0000,
Garay,9,2,14.0000,16.0000
Maipu,7,7,,
Alsina,6,2,2.0000,10.0000
Olivos,5,4,,
Bonpland,17,4,2.0000,40.0000
La Carmela,8,7,,2.0000
Emilio Castro,1,4,,
Fisherton,11,6,2.0000,3.0000
Emilio Castro,15,2,6.0000,
Congreso,10,5,6.0000,35.0000
Parque Sarmiento,9,6,11.0000,35.0000
AUBASA BA-LP,14,5,3.0000,15.0000
Zarate Brazo Largo,20,6,6.0000,4.0000
Floresta,14,7,1.0000,2.0000
San Isidro,5,4,,4.0000
Dialogos,10,2,4.0000,10.0000
Alvear,19,3,4.0000,35.0000
Lima,4,1,18.0000,22.0000
Bulnes,14,6,,3.0000
La Carmela,10,2,,
Quilmes,19,3,,1.0000
America,20,7,2.0000,8.0000
Las Heras,9,7,22.0000,1.0000
Ovidio Lagos,16,6,,
Arroyo Seco,7,1,57.0000,72.0000
Alsina,1,7,,1.0000
Alvear,9,7,11.0000,47.0000
Lima,9,1,82.0000,144.0000
AUBASA BA-LP,11,1,22.0000,70.0000
Luis Viale,9,6,11.0000,25.0000
Buen Ayre,12,1,8.0000,24.0000
Florencio Varela,9,7,3.0000,10.0000
La Bandera,12,1,6.0000,
Dialogos,18,7,1.0000,10.0000
Las Heras,18,7,11.0000,1.0000
CORS Alem,18,3,16.0000,
AUBASA LP-BA,15,3,6.0000,24.0000
La Bandera,11,5,18.0000,1.0000
Del Tejar,12,1,,6.0000
Buen Ayre,14,5,5.0000,25.0000
Centenera,6,3,9.0000,14.0000
AUBASA BA-LP,14,1,4.0000,25.0000
Santa Rita,10,6,4.0000,17.0000
Zarate,3,7,,
Emilio Castro,4,3,,
Amanecer,5,1,2.0000,1.0000
AUBASA BA-LP,14,7,7.0000,17.0000
San Isidro,12,5,1.0000,19.0000
Alsina,20,6,,2.0000
Quilmes,2,7,,
Villa Luro,23,1,,10.0000
Lima,3,2,11.0000,14.0000
Congreso,8,1,11.0000,7.0000
Trelles,5,3,4.0000,14.0000
Gral Paz Provincia,10,1,25.0000,59.0000
La Bandera,12,2,7.0000,
Santa Fe,17,1,1.0000,2.0000
Gutierrez,3,2,,3.0000
Buen Ayre,10,2,19.0000,113.0000
Bonpland,12,5,1.0000,24.0000
El Arco,9,6,36.0000,65.0000
La Carmela,8,2,,
Buen Ayre,13,5,6.0000,21.0000
Gutierrez,15,1,,4.0000
Gral Paz Capital,6,7,23.0000,18.0000
Villa Luro,8,1,14.0000,16.0000
Emilio Castro,6,3,14.0000,4.0000
Zarate Brazo Largo,6,6,19.0000,34.0000
Arroyo Seco,1,2,8.0000,18.0000
Trelles,5,6,3.0000,16.0000
San Isidro,12,2,1.0000,21.0000
Bonpland,18,5,1.0000,32.0000
Santa Rita,4,4,3.0000,1.0000
Garay,15,4,5.0000,29.0000
Buen Ayre,7,4,26.0000,67.0000
CORS Alem,16,4,14.0000,
Buen Ayre,20,7,5.0000,17.0000
Fisherton,15,2,1.0000,1.0000
Boulevard,12,3,1.0000,6.0000
Gral Paz Capital,13,5,4.0000,5.0000
El Arco,12,6,1.0000,15.0000
Garay,22,3,,2.0000
Gral Paz Provincia,20,2,,9.0000
Florencio Varela,8,6,6.0000,25.0000
Luis Viale,17,4,2.0000,28.0000
Santa Fe,6,1,6.0000,1.0000
La Carmela,17,6,,1.0000
Arroyo Seco,6,3,73.0000,54.0000
Gutierrez,18,7,1.0000,13.0000
Centenera,4,2,,1.0000
La Bandera,11,3,9.0000,
Garay,20,1,,10.0000
Gral Paz Provincia,5,3,19.0000,12.0000
El Club,10,1,22.0000,59.0000
La Bandera,16,5,,
AUBASA BA-LP,20,5,5.0000,12.0000
Gral Paz Capital,7,3,15.0000,20.0000
Fisherton,16,6,6.0000,1.0000
Santa Rita,17,5,5.0000,20.0000
San Isidro,11,7,8.0000,31.0000
Amanecer,19,1,2.0000,
Congreso,0,1,1.0000,3.0000
Alsina,6,6,2.0000,9.0000
Las Heras,9,5,30.0000,3.0000
Gutierrez,8,1,9.0000,8.0000
Parque Sarmiento,22,6,,3.0000
Floresta,8,1,3.0000,9.0000
AUBASA BA-LP,8,3,50.0000,63.0000
El Club,9,1,9.0000,61.0000
Centenera,11,4,2.0000,13.0000
Congreso,19,3,4.0000,15.0000
Quilmes,7,7,,3.0000
AUBASA BA-LP,10,6,55.0000,120.0000
Alsina,2,1,1.0000,
Gutierrez,5,4,,2.0000
Bonpland,19,4,4.0000,17.0000
Bulnes,12,5,,10.0000
AUBASA BA-LP,17,1,6.0000,52.0000
Trelles,17,1,4.0000,10.0000
Congreso,6,3,5.0000,2.0000
Villa Allende,16,4,3.0000,18.0000
Bulnes,7,2,1.0000,8.0000
El Arco,18,6,9.0000,20.0000
Bulnes,7,7,3.0000,5.0000
Amanecer,8,2,18.0000,15.0000
Dialogos,9,7,3.0000,14.0000
Quilmes,0,4,,
Dialogos,13,1,,4.0000
Emilio Castro,6,2,6.0000,3.0000
Gral Paz Capital,6,5,14.0000,15.0000
Luis Viale,14,1,,9.0000
Fisherton,9,4,10.0000,10.0000
El Club,9,4,7.0000,120.0000
San Isidro,16,6,4.0000,21.0000
Parque Sarmiento,8,4,22.0000,28.0000
Laferrere,6,6,,
Gral Paz Capital,13,2,3.0000,9.0000
Dialogos,9,5,3.0000,7.0000
Fisherton,5,1,10.0000,13.0000
Olivos,19,5,,7.0000
Los Incas,10,7,,
Santa Fe,11,1,,1.0000
Ovidio Lagos,17,1,,
Laferrere,9,5,4.0000,2.0000
Ovidio Lagos,6,7,,
La Bandera,11,7,26.0000,
AUBASA LP-BA,16,4,9.0000,42.0000
Olivos,6,5,3.0000,
Arroyo Seco,7,2,102.0000,113.0000
Luis Viale,10,6,15.0000,26.0000
Emilio Castro,12,4,,
Santa Rita,9,2,6.0000,19.0000
Alvear,8,3,14.0000,75.0000
Luis Viale,15,6,1.0000,21.0000
Luis Viale,20,4,1.0000,4.0000
Arroyo Seco,22,2,4.0000,6.0000
Zarate Brazo Largo,8,5,35.0000,57.0000
Buen Ayre,12,2,11.0000,28.0000
Alsina,5,5,,2.0000
Pilar,8,2,1.0000,19.0000
Bulnes,19,3,,12.0000
AUBASA BA-LP,20,1,,20.0000
Cabildo,16,3,,
Dialogos,18,5,,1.0000
Zarate Brazo Largo,23,1,3.0000,1.0000
Trelles,18,5,1.0000,16.0000
Gral Paz Capital,12,6,5.0000,11.0000
Villa Allende,11,1,8.0000,35.0000
CORS Alem,8,7,2.0000,
Del Tejar,17,1,1.0000,7.0000
Olivos,14,5,,7.0000
Del Tejar,21,6,,2.0000
Floresta,1,7,,1.0000
Santa Rita,1,1,,
La Carmela,15,4,,
Villa Luro,4,2,,4.0000
Maipu,11,4,,2.0000
Alvear,21,7,2.0000,12.0000
Amanecer,3,1,1.0000,3.0000
Cabildo,3,4,,
Las Heras,14,1,7.0000,
Pilar,6,3,3.0000,4.0000
Emilio Castro,16,1,3.0000,4.0000
Buen Ayre,13,4,1.0000,16.0000
Olivos,22,7,,1.0000
Ovidio Lagos,6,6,2.0000,
Centenera,6,1,,1.0000
Emilio Castro,23,7,,
Floresta,7,3,13.0000,4.0000
