estacion,hora,dia_semana,q_cafes_llevar_algo_otros_sinbakery_negro_caramelonochoco,q_cafes_local_algo_otros_sinbakery_negro_caramelonochoco
Lima,11,6,24.0000,9.0000
Maschwitz,15,7,,
Amanecer,6,5,7.0000,
Del Tejar,2,1,,5.0000
Lima,22,5,14.0000,5.0000
Emilio Castro,17,3,4.0000,
Maipu,4,5,,
Maschwitz,22,5,,
Bonpland,22,5,2.0000,13.0000
Santa Fe,9,4,,
Pilar,3,6,1.0000,
Olivos,3,6,,
CORS Alem,9,4,5.0000,
Bonpland,2,7,1.0000,3.0000
Villa Allende,16,7,2.0000,7.0000
Olivos,19,7,,3.0000
Luis Viale,16,5,,15.0000
Amanecer,10,6,2.0000,2.0000
Gral Paz Capital,23,3,4.0000,4.0000
Arroyo Seco,17,1,57.0000,14.0000
Laferrere,14,7,,
Ovidio Lagos,2,1,,
Maschwitz,0,4,,
Garay,20,3,,3.0000
Alvear,14,4,7.0000,19.0000
El Club,19,1,,2.0000
Buen Ayre,8,7,7.0000,2.0000
AUBASA LP-BA,11,5,14.0000,15.0000
Gral Paz Capital,21,3,10.0000,1.0000
Amanecer,15,6,1.0000,2.0000
Centenera,13,6,,3.0000
La Carmela,17,2,,
Fisherton,22,2,2.0000,2.0000
Santa Fe,8,4,2.0000,1.0000
AUBASA BA-LP,13,6,21.0000,17.0000
Cabildo,21,2,,
Alsina,8,5,1.0000,1.0000
Gral Paz Provincia,21,6,2.0000,2.0000
Buen Ayre,16,1,5.0000,18.0000
Alberdi,8,2,,
