estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sandwiches,q_cafes_llevar_algo_otros_sinbakery_sandwiches,q_cafes_local_algo_leche_sinbakery_sandwiches,q_cafes_local_algo_otros_sinbakery_sandwiches
Del Tejar,23,4.0000,null,7.0000,14.0000
Laferrere,8,49.0000,33.0000,113.0000,19.0000
Ovidio Lagos,10,4.0000,5.0000,5.0000,41.0000
La Bandera,13,10.0000,2.0000,54.0000,32.0000
AUBASA BA-LP,12,102.0000,105.0000,166.0000,225.0000
Amanecer,12,18.0000,12.0000,null,58.0000
Garay,20,9.0000,17.0000,28.0000,42.0000
Disc Panamericana,17,1.0000,2.0000,null,1.0000
Bonpland,5,40.0000,15.0000,90.0000,22.0000
Parque Sarmiento,23,9.0000,2.0000,2.0000,6.0000
Gral Paz Provincia,13,37.0000,38.0000,71.0000,123.0000
Bulnes,8,6.0000,6.0000,37.0000,10.0000
Ovidio Lagos,12,8.0000,10.0000,8.0000,24.0000
Congreso,22,3.0000,7.0000,4.0000,11.0000
DISC Caraffa,15,null,null,9.0000,6.0000
Buen Ayre,14,21.0000,29.0000,60.0000,102.0000
Bonpland,1,14.0000,11.0000,13.0000,21.0000
Santa Fe,13,2.0000,1.0000,2.0000,8.0000
